title,price,location,date,link
Ps 4 Pro 1TB În stare foarte bună,800 lei,N/A,N/A,https://www.olx.ro/d/oferta/ps-4-pro-1tb-in-stare-foarte-buna-IDkK9HS.html?search_reason=search%7Corganic
"Controller PS5 Spider-Man DualSense maneta PlayStation 5, fara defect",380 lei,N/A,N/A,https://www.olx.ro/d/oferta/controller-ps5-spider-man-dualsense-maneta-playstation-5-fara-defect-IDjVnFZ.html?search_reason=search%7Corganic
PlayStation 4 ps 4 Pro 4k–Nu ca alte console de pe OLX – Curățare Prof,800 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-4-ps-4-pro-4knu-ca-alte-console-de-pe-olx-curatare-prof-IDk0wdt.html?search_reason=search%7Corganic
PlayStation 4 ps 4 Pro 4k–Nu ca alte console de pe OLX – Curățare Prof,800 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-4-ps-4-pro-4knu-ca-alte-console-de-pe-olx-curatare-prof-IDk0wdt.html?search_reason=search%7Cpromoted
Controller Sony PlayStation DualShock SCPH 10010 cablu defect,59 lei,N/A,N/A,https://www.olx.ro/d/oferta/controller-sony-playstation-dualshock-scph-10010-cablu-defect-IDkyCc0.html?search_reason=search%7Corganic
Urgent!!! Vand ps 4 pro cu controler (defect),650 lei,N/A,N/A,https://www.olx.ro/d/oferta/urgent-vand-ps-4-pro-cu-controler-defect-IDkB4eC.html?search_reason=search%7Corganic
Joc video PS4 RDR 2 + harta,80 lei,N/A,N/A,https://www.olx.ro/d/oferta/joc-video-ps4-rdr-2-harta-IDkJ5X3.html?search_reason=search%7Corganic
Playstation 5 cu disc / Defect,199 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-5-cu-disc-defect-IDkM413.html?search_reason=search%7Corganic
PlayStation Portal Midnight Black,850 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-portal-midnight-black-IDkGdg4.html?search_reason=search%7Corganic
Pentru nostalgici.. ideal console retro,500 lei,N/A,N/A,https://www.olx.ro/d/oferta/pentru-nostalgici-ideal-console-retro-IDkJmJ6.html?search_reason=search%7Corganic
Controller Ps5 originala ( maneta playstation 5),205 lei,N/A,N/A,https://www.olx.ro/d/oferta/controller-ps5-originala-maneta-playstation-5-IDkFw9G.html?search_reason=search%7Cpromoted
